neuron_id,soma_depth,dendrite_volume,axon_volume,dendrite_vertical_extent,axon_vertical_extent,spike_frequency,spike_frequency_adaptation
20040608A,0.6747512,0.00675,0.04151595,0.2997403,0.78193,66.05428837,45.65470927
20040622A,0.730843524,0.007,0.014731466,0.33422,0.51608,69.56521739,24.75445084
20040630B,0.621215389,0.0045,0.027788902,0.305,0.7048198,80.61182307,9.069839405
20040701A,0.739084689,0.006,0.009039763,0.24673,0.29505,53.07386112,57.57594142
20040703A,0.663453762,0.007,0.019418751,0.3966,0.65608,71.01264025,33.93373184
20040703B,0.728531643,,0.01439666,,0.6791,72.95010213,37.32584483
20040707A,0.688566178,0.00625,0.010378988,0.35182,0.3016,86.12911164,13.58253873
20040709A,0.632167869,0.0075,0.033145799,0.515687,0.6991327,85.55713995,23.61344311
20040712A,0.652659257,0.00525,0.022432005,0.22448,0.61514,68.61990809,26.8753494
20040806A,0.800213193,0.00025,0.023101618,0.0201,0.65977,72.89085116,23.3980865
20040810B,0.80279492,0.002,0.009709376,0.0901895,0.3184,79.99015506,29.38137729
20040811A,0.752851045,0.0015,0.043524787,0.1429603,1.18452,39.61634696,70.38726588
20040823A,0.634127378,0.0085,0.051225326,0.42937,1.23427,97.71986971,13.92725546
20040901A,0.755356672,0.00525,0.015401078,0.34014,0.3981704,82.03950202,16.1488005
20040903A,0.672861733,0.007,0.024440842,0.37731,0.91797,65.59527714,47.84736747
20160201C,0.597487165,0.0105,0.052899356,0.446178,1.174583,56.94181766,5.880328616
20170512B,0.593395299,0.0135,0.064952374,0.867739,1.322428,87.96874041,19.89980352
20120621B,0.6976863,0.0105,0.057921447,0.525801,1.341305,83.18775476,18.17598834
20110530F,0.760485758,0.00775,0.037833084,0.34623,1.26367,26.53986509,97.29895492
20111209D,0.786192972,0.007,0.051225326,0.22083,1.08077,22.93998899,99.999
20120209A,0.830076938,0.0125,0.068635241,0.3793,1.21251,24.77148307,96.9126721
20120301A,0.813281977,0.00625,0.025110454,0.24028,0.80557,25.28658125,99.89822239
20120830F,0.727049157,0.0065,0.045533623,0.27757,1.39265,20.94240838,99.14798347
20130207C,0.702944896,0.00375,0.022766812,0.1923297,0.47969,32.88527151,77.81318345
20130221A,0.693810671,0.00775,0.06193912,0.33735,1.13434,32.92519807,93.91179815
20130222A,0.804446649,0.00875,0.08738438,0.30641,1.24295,16.31359388,99.99972158
20130311C,0.747862871,0.00675,0.047877265,0.30562,1.12122,17.83683753,99.99995329
20130318C,0.760989199,0.00625,0.029462933,0.28516,0.81763,19.14287765,99.99999871
20130403A,0.785079266,0.0105,0.043859593,0.5176,0.91463,36.34109323,91.00596804
20130403B,0.769932586,0.00775,0.035489442,0.30282,1.09285,28.31199822,87.62296199
20130405C,0.849136102,0.00775,0.039507114,0.2161902,0.77544,22.21185669,98.17435944
20130430D,0.656721606,0.00725,0.046872847,0.695421,1.608952,46.30604083,66.84612357
20130503A,0.747332504,0.0055,0.040846338,0.26079,0.84505,42.43671625,52.79182931
20130514A,0.745784604,0.006,0.022766812,0.26186,0.82233,17.68151177,99.98984016
20130705A,0.824251286,0.0045,0.035154635,0.24689,0.54674,38.01237514,64.43754018
20130805A,0.740770485,0.00525,0.025780066,0.26735,0.84215,28.54946744,90.59259392
20130819B,0.623377609,0.0055,0.040176726,0.23595,0.73197,43.07652545,82.250157
20130916B,0.664007039,0.00725,0.043524787,0.2870995,1.25477,21.05263158,99.99427862
