neuron_id,Soma depth,Axon height,Dendrite height,Axon width,Dendrite width,Axon total length,Dendrite total length,Axon z-bias,Dendrite z-bias,Axon x-bias,Dendrite x-bias,Axon max. branch order,Dendrite max. branch order,Axon number of branches,Dendrite number of branches,Axon max. Euclid. dist.,Dendrite max. Euclid. dist.,Axon max. path dist.,Dendrite max. path dist.,Axon mean contraction,Dendrite mean contraction,Axon above dendrite,Axon overlapping dendrite,Axon below dendrite,Dendrite above axon,Dendrite overlapping axon,Dendrite below axon,Earth mover's distance,Soma axon z-percentile,Soma dendrite z-percentile,Soma axon x-percentile,Soma dendrite x-percentile,Axon histogram PC1,Axon histogram PC2,Axon histogram PC3,Axon histogram PC4,Axon histogram PC5,Axon histogram PC6,Dendrite histogram PC1,Dendrite histogram PC2,Dendrite histogram PC3,Dendrite histogram PC4,Dendrite histogram PC5,Axon home column,Dendrite home column,Axon adjacent columns,Dendrite adjacent columns
20010518A,0.3385632260180714,0.53273,0.49859000000000003,0.8791200000000001,0.45269000000000004,35.37772313682447,5.043424083029798,-0.019683547963857184,0.10067645203614278,0.313116,0.13915400000000003,23.0,7.0,565.0,59.0,0.6031677919867076,0.3724618089736244,1.1354919652231332,0.46714126912921217,39.32768537105898,70.84595402424509,0.0,99.53942251576447,0.4605774842355205,0.4854590888097617,99.51454091119025,0.0,1.4918931179549428,51.952716308263916,75.01661049713944,37.374844893553025,31.30733731507086,0.017862124847001046,0.15006882429688412,-0.0038545121635595128,-0.08228908647819166,-0.01858974263898776,0.069048409005427,-0.010169373942754826,-0.05318116736037209,-0.08511683535920207,0.01380305469668689,0.10633208551205554,69.87895302070696,12.051005048781716,17.643855138106154,0.42618679240517293
20010529B,0.36277365939532846,1.29913,0.31344999999999995,0.60217,0.28376,44.272032101601,4.3997447557880855,-0.8068026812093432,-0.045102681209342965,0.13025799999999998,0.02124799999999999,29.0,5.0,919.0,39.0,1.0650493990567402,0.25003854813868615,1.8894077969039742,0.3700631774865695,34.20895343134313,78.73955687726357,3.9144858847981903,84.33927051419745,11.746243601004355,0.0,100.0,0.0,3.6843504214897194,59.22303453071351,51.070704093935916,38.45684457743695,40.595168157105576,0.02377243052910569,0.16638362966379436,0.008442753226149527,-0.10909692591516786,-0.024685733566449843,0.08934962910089579,-0.006410096474770185,-0.04371864039368619,-0.0689413942565566,0.018812944542984805,0.07295097128998766,86.68795195077219,9.039622220243928,4.27242582898388,0.0
20010530B,0.35687900551999674,0.83505,0.49627,0.13290000000000002,0.15853,9.119920165865787,2.8464991895450784,-0.38691798896000656,0.12854201103999344,0.0404248,0.023934800000000006,15.0,7.0,211.0,33.0,0.6278884975753238,0.31608539977228517,1.0214836692548894,0.5734381048463559,41.72321053468021,62.46848094952691,0.0,75.86575128600212,24.13424871399788,5.194982377865038,94.80501762213495,0.0,6.529536097530568,18.241579272834976,63.31014094966287,24.5073732380159,46.31109834192909,0.01414272587637789,0.02088225210489324,-0.006666480613910305,-0.015775220663409747,0.01247772110593276,-0.008020547073654126,-0.0046936415640509415,-0.02837324931340036,-0.04500656430430686,0.010001115980234551,0.05035075695019894,76.21260708820158,23.78739291179842,0.0,0.0
20010626D,0.3638617367096457,0.65962,0.36344000000000004,0.41300000000000003,0.2359005,32.97948314530887,5.294962862079392,-0.19247652658070852,0.05036347341929154,0.086896,0.05479550000000001,23.0,8.0,745.0,69.0,0.4314245639418017,0.22479307104494006,0.6836122509273429,0.3281385705933281,35.036766802664445,71.91806879591535,0.3701867544175245,97.60543245146576,2.0243807941167025,0.0,100.0,0.0,1.091983609961806,66.86053503442291,59.55208764601115,27.68742183805716,31.853695295599206,0.017086850053152743,0.14516479983735844,-0.0008215931526198066,-0.08448416340549363,-0.032400004099816956,0.08128459016569642,-0.009914196708487654,-0.05512907190125305,-0.08707349380641564,0.017147167658773287,0.10198261959790833,85.88725222351171,13.834198569607734,0.27854920688055934,0.0
20010710B,0.30060480629816333,0.87583,0.15425,0.30779,0.16681,17.962002674580816,2.4671511814565346,-0.3574923874036732,0.0036676125963267525,0.041784000000000016,0.029884599999999997,17.0,6.0,411.0,69.0,0.6161344352043737,0.10903470552913419,0.8685363882873255,0.1728822386584961,43.574320409348495,64.77066734732949,10.084198434254468,58.55282395889609,31.362977606849434,0.0,100.0,0.0,4.23327044374924,34.80871811302934,76.80357098741969,36.76494174461881,41.398557009247824,0.01297225025539876,0.06667847941665625,-0.0019679632608491015,-0.03533197673487818,-0.00554400362019517,0.030378196182527673,-0.005656965229858412,-0.02798995481943248,-0.04593203812318367,0.006081202439561406,0.06491135073117493,87.92338048436878,12.076619515631219,0.0,0.0
20010910A,0.47047725241422006,1.1840000000000002,0.21281000000000003,0.52013,0.1959502,34.077047391657295,2.751842803210665,-0.5776254951715599,0.05076450482844011,0.08682200000000004,0.009317800000000015,33.0,7.0,891.0,59.0,0.885759574443144,0.19886370931675462,1.4262364792575144,0.24847556676579183,47.38250705146209,71.09861573116869,19.748685441020097,59.331107387678685,20.920207171301225,0.0,100.00000000000001,0.0,6.116073251010337,72.78028785433868,66.80797188270216,38.55662652834215,38.201736645411124,0.027515152680900996,0.11071205668218988,0.009051875602364685,-0.08391249732236734,-0.012774665519304012,0.05260686934037809,-0.0006790325152120939,-0.020819505381276606,-0.030518659023109237,0.016978973592801684,0.009120719287440484,90.49774047236528,7.4719677640303415,2.030291763604375,0.0
20010912A,0.3669961060598398,0.53632,0.5419400000000001,0.1687596,0.26839,5.184151559063355,2.9339153291712883,-0.34562778788032034,0.1723722121196798,0.1023384,0.008192000000000005,15.0,8.0,125.0,61.0,0.46080830413489915,0.38268070370297697,0.7814076933004616,0.49735280957808875,50.087901308714514,75.09475333970845,0.0,71.56298100801554,28.437018991984473,40.03541156886485,59.96458843113516,0.0,8.20557397521845,11.536714441966224,50.881781380944055,7.616031778712973,43.67823665875318,0.00998599356577862,0.01048689252924537,-0.006039131663576698,-0.009401963036965591,0.010414788373214141,-0.008443681132319868,-0.003695066943726311,-0.02449599198862975,-0.03664746996487335,0.009584228227947746,0.02593350760524827,63.85943390755556,36.14056609244443,0.0,0.0
20010918C,0.43835380172340027,0.9345619999999999,0.55258383,1.8199930000000002,0.49590999999999996,29.751051252816275,5.222238294949479,-0.05954639655319943,0.03494777344680067,0.7049070000000001,0.108044,13.0,6.0,165.0,39.0,1.2984495635047397,0.37468515654246065,1.9956914771662033,0.5177139336469915,39.823435998315034,69.96963532769004,6.038639833840062,89.12074682935805,4.840613336801882,0.0,99.99999999999999,0.0,3.3024464860993348,72.23478485659587,58.918619778398586,21.40450086356448,48.4385661424202,0.021230614545602055,0.09132376427365368,-0.003500725406338872,-0.022322923738626845,0.019895855920361773,0.03612283620184315,0.011371618837773443,-0.03685751880732741,-0.06502441818591213,0.05264220890651865,0.04377777450493083,42.12064237159245,14.419456361026251,42.9472812853542,0.5126199820270964
20010919A,0.2920292451600922,0.6774398,,0.40582999999999997,,28.42296026216335,,-0.2328193096798154,,0.02979799999999999,,32.0,,619.0,,0.48254646614311264,,1.474488210589911,,30.98193270220637,,,,,,,,,54.063488654933025,,47.429376285853145,,0.01054922321955251,0.10877752778845662,0.0008781785646388998,-0.037773032615564535,-0.010692444986265759,0.06138830942524503,2.786410879113964e-17,5.812246975726605e-18,-2.5163518203318992e-17,-7.801861875029387e-18,8.773868652289185e-18,,,,
20010925B,0.34810615685910296,0.49514,0.16824,0.39942,0.14636,27.00774148485902,2.4766499260632338,-0.207327686281794,-0.021867686281793974,0.04239200000000001,0.021868399999999996,17.0,10.0,753.0,69.0,0.3542219079204009,0.13304605869033184,0.73961073356445,0.15891205911657363,45.88326127006104,71.05291554002905,0.6375229838540127,56.70534176465422,42.657135251491766,0.0,100.00000000000001,0.0,4.0598867825048,8.683123617350656,55.26974491409753,45.45492331695935,40.05896005125705,0.0326019629258938,0.0929724429886101,-0.025099550153157287,-0.0739069399462696,0.03977990837739267,-0.028721221170526893,-0.005265505440799924,-0.0274385040204408,-0.043869859480852424,0.007716393863243522,0.05579570049304025,91.26245936152402,8.399867887881106,0.33767275059487156,0.0
