neuron_id,normalized_soma_depth,layer,m_type
305354.0,0.7580722688052861,L6,BC
305251.0,0.7712549323533693,L6,MC
271673.0,0.7752819888090505,L6,MC
305073.0,0.7778432182872659,L6,MC
307066.0,0.781756300890761,L6,
271569.0,0.8091231445151513,L6,
271700.0,0.8092321149322762,L6,BPC
307059.0,0.8124733298893754,L6,BPC
307012.0,0.8151024204540649,L6,
271886.0,0.8279171284546976,L6,BC
342238.0,0.8316884549773356,L6,MC
307126.0,0.8462541363276377,L6,BPC
307147.0,0.855523764530684,L6,
307287.0,0.8611568406134945,L6,BC
307264.0,0.8799598655513268,L6,BC
306988.0,0.8822218211965168,L6,BC
309052.0,0.8942894260853798,L6,
309376.0,0.8973344547072756,L6,BC
342232.0,0.8987122936978618,L6,BPC
309266.0,0.9070822449653947,L6,BPC
309480.0,0.9149932136328872,L6,MC
309279.0,0.9194605078813222,L6,BC
309508.0,0.9198831962022855,L6,BC
309578.0,0.939193241746085,L6,BC
309481.0,0.9429284410201142,L6,BC
309467.0,0.9616321981575215,L6,
274192.0,0.9629886061960736,L6,
309268.0,0.9666566573793575,L6,BPC
309241.0,0.9849751047096414,L6,MC
276440.0,0.9894328227252344,L6,
