neuron_id,dendrite_vertical_extent,axon_vertical_extent,spike_frequency
689331391,0.42322596879999996,0.6012657305,73.45939327982586
893714311,0.5261554782,0.5559227959999999,
767084655,0.19666604599999998,0.9635999463,34.013605442176875
1037452707,0.46965260919999996,1.3794554319999999,
848565246,0.7126694738999999,0.9797058759,
1040865856,0.2978023965,0.9121560523000001,
1060105621,0.3631828719,0.9345430858,
767801031,0.2851825811,1.038104693,45.498414449193426
907585117,0.45563451520000003,1.3961594789999998,39.07380607814761
819200626,0.5377566187999999,0.848455112,
819209252,0.6996810028999999,0.8042232632,
732141043,0.6798314632,1.327904977,23.618327822390174
720835661,0.5585457929000001,0.5488619783,93.88393768283557
1067599469,0.5030301788,1.223634213,
799031221,0.8047655002999999,1.531498628,
665718254,0.46450431550000004,0.9239600975,95.09678289606796
819194697,0.4109745334,0.7307912067,
819221461,0.44048558530000004,0.948941044,
766789211,0.4467420638,0.9509712992,39.0004333381482
855354446,0.6398149276,0.3095576178,
855760595,0.7861396942,1.1967387450000002,
737549021,0.5841251329,0.26394811420000003,33.3263903353468
1069256863,0.2826829069,1.3740491,
1061720975,0.1944343485,1.093699187,
738006528,0.1757519007,0.6219447507,34.89804297249213
707837795,0.43532151599999996,0.572060261,62.094659859252104
960630346,0.7395139693999999,1.2874005210000001,
851002859,0.7069920289,0.7975801760000001,
911028006,0.1154790443,0.5937297053,
886539074,0.1931531621,0.5028072827,
855460302,0.5582135342,0.6923299293,
758308134,0.1650396652,1.382673166,19.518542615484712
758308097,0.2961143109,0.7175031502,64.69874646178731
941919377,0.45059711929999996,1.183404358,
960790148,0.4656667565,0.605539233,
864072789,0.4305036388,0.9481913979,
967540207,0.3592455508,0.7562539944,
737549661,0.20967232670000002,0.4612047842,20.83815698078259
1041081551,0.3797329906,0.5879741837,
932161443,0.9298542686,1.064435115,
1079573757,0.5030728354,1.4889704019999999,
732105067,0.6470785468,1.038021647,65.60962274466922
893503755,0.71896315,0.8462912722999999,
848610436,0.4746590884,0.642295798,
1069242387,0.286524522,0.8392853072,
894610619,0.35326716420000004,1.66669808,
786447528,0.594021356,0.9574771978,23.09113300492611
695576844,0.5722424938,1.027868762,50.85104880288155
894360289,0.6165057186,1.4134685139999998,
737553506,0.681519922,0.8821829123,21.111893033075294
737792547,0.37995083949999997,0.6994955232,42.29654578209446
