neuron_id,morph_status,ephys_status,normalized_soma_depth,layer,m_type,e_type,m_cluster,e_cluster,me_cluster,mol_id,pred_mol_id
20040630B,complete,available,0.329207943,L4,Martinotti,Fast spiking,13,12,4,,PV+
20040701A,complete,available,0.391671801,L4,Small Basket,Irregular spiking,6,2,4,,PV+
20040703A,complete,available,0.351591819,L4,Large Basket,Fast spiking,6,13,4,,PV+
20040703B,axon_only,available,0.386079302,L4,Large Basket,Fast spiking,,12,,,
20040707A,complete,available,0.364899935,L4,Small Basket,Fast spiking,7,13,2,,PV+
20040709A,complete,available,0.335012119,L4,Martinotti,Fast spiking,7,12,2,,PV+
20040712A,complete,available,0.34587136,L4,Small Basket,Fast spiking,7,12,2,,PV+
20040806A,complete,available,0.424066345,L4,Small Basket,Fast spiking,8,12,15,,VIP+
20040810B,complete,available,0.42543451,L4,Small Basket,Fast spiking,6,12,4,,PV+
20040811A,complete,available,0.398967167,L4,Bitufted,Adapting,8,12,15,,VIP+
20040823A,complete,available,0.336050545,L4,Translaminar,Fast spiking,10,12,2,,PV+
20040901A,complete,available,0.400295004,L4,Small Basket,Fast spiking,6,13,2,,PV+
20040903A,complete,available,0.356577495,L4,Small Basket,Fast spiking,10,12,2,,VIP+
20160201C,complete,available,0.316633368,L4,Translaminar,Fast spiking,10,10,21,,PV+
20170512B,complete,available,0.314464917,L4,Translaminar,Fast spiking,2,8,21,,PV+
20120621B,complete,available,0.369733068,L4,Translaminar,Fast spiking,10,8,21,,PV+
20110530F,complete,available,0.40301312,L4,Large Basket,Irregular spiking,8,7,11,,VIP+
20111209D,complete,available,0.416636445,L4,Large Basket,Adapt./irreg. spiking,8,4,12,,SST+
20120209A,complete,available,0.439892389,L4,Large Basket,Adapt./irreg. spiking,9,3,12,,SST+
20120301A,complete,available,0.430992039,L4,Small Basket,Adapt./irreg. spiking,9,3,12,,SST+
20120830F,complete,available,0.385293671,L4,Martinotti,Adapt./irreg. spiking,8,3,12,,SST+
20130207C,complete,available,0.372519818,L4,Neurogliaform,Adapting,6,7,11,,PV-/SST-/VIP-
20130221A,complete,available,0.367679211,L4,Large Basket,Adapting,10,7,11,,SST+
20130222A,complete,available,0.42630983,L4,Large Basket,Irregular spiking,9,4,12,,SST+
20130311C,complete,available,0.396323726,L4,Small Basket,Adapting,8,4,12,,SST+
20130318C,complete,available,0.403279915,L4,Small Basket,Adapting,8,4,12,,SST+
20130403A,complete,available,0.416046246,L4,Large Basket,Adapting,10,7,10,,SST+
20130403B,complete,available,0.408019389,L4,Large Basket,Adapting,8,7,11,,VIP+
20130405C,complete,available,0.449992635,L5,Large Basket,Adapting,9,7,11,,SST+
20130430D,complete,available,0.348024168,L4,Bitufted,Regular spiking,12,7,19,,SST+
20130503A,complete,available,0.396042662,L4,Neurogliaform,Regular spiking,8,7,11,,PV-/SST-/VIP-
20130514A,complete,available,0.395222366,L4,Small Basket,Adapting,7,7,11,,VIP+
20130705A,complete,available,0.436805133,L4,Large Basket,Regular spiking,8,7,20,,PV+
20130805A,complete,available,0.392565175,L4,Martinotti,Adapting,8,7,11,,VIP+
20130819B,complete,available,0.330353794,L4,Large Basket,Regular spiking,10,7,11,,SST+
20130916B,complete,available,0.351885023,L4,Large Basket,Adapting,10,3,12,,SST+
20140212B,complete,available,0.422777486,L4,Small Basket,Adapting,6,4,12,,SST+
20140213F,complete,available,0.387269598,L4,Large Basket,Adapt./irreg. spiking,8,4,12,,SST+
20140219A,complete,available,0.404558729,L4,Martinotti,Adapting,8,2,12,,SST+
20140224A,complete,available,0.397604334,L4,Neurogliaform,Regular spiking,8,4,11,,PV-/SST-/VIP-
20140226A,complete,available,0.381942937,L4,Martinotti,Fast spiking,2,7,10,,SST+
20150106A,complete,available,0.374442737,L4,Small Basket,Adapting,8,7,11,,VIP+
20150112A,complete,available,0.412719326,L4,Martinotti,Irregular spiking,8,4,12,,VIP+
20150319A,complete,available,0.358097297,L4,Martinotti,Adapting,8,3,12,,SST+
20150330C,complete,available,0.359960728,L4,Martinotti,Adapting,10,4,11,,SST+
20150330E,complete,available,0.429936219,L4,Martinotti,Adapting,9,4,12,,SST+
20150410A,complete,available,0.347146815,L4,Large Basket,Regular spiking,10,4,11,,PV-/SST-/VIP-
20150416A,complete,available,0.400196672,L4,Martinotti,Adapting,8,4,12,SST+,SST+
20150721A,complete,available,0.400708081,L4,Bitufted,Irregular spiking,12,4,9,,SST+
20150925A,complete,available,0.40516817,L4,Bitufted,Irregular spiking,10,2,22,,SST+
20160115E,complete,available,0.34562615,L4,Large Basket,Adapting,10,7,11,,SST+
20160201B,complete,available,0.336242802,L4,Large Basket,Adapting,6,7,2,,VIP+
20160212C,complete,available,0.3226092,L4,Large Basket,Adapting,10,7,2,,VIP+
20160311D,complete,available,0.333340198,L4,Large Basket,Adapting,10,4,12,,SST+
20160620B,complete,available,0.409717619,L4,Large Basket,Adapting,9,7,11,,SST+
20170406B,complete,available,0.35573208,L4,Small Basket,Regular spiking,6,7,2,PV-/SST-,VIP+
20170412A,complete,available,0.382478563,L4,Bitufted,Regular spiking,14,4,19,PV-/SST-,VIP+
20170419I,complete,available,0.368048007,L4,Large Basket,Adapting,10,4,11,SST+,SST+
20170419L,complete,available,0.40523634,L4,Martinotti,Adapting,10,7,11,SST+,SST+
20170425A,complete,available,0.435560506,L4,Martinotti,Fast spiking,2,7,10,SST+,SST+
20170426E,complete,available,0.403589825,L4,Martinotti,Adapting,10,7,11,SST+,SST+
